#Name,Filed Name,Width,Direction,Type,Default,DC SCAN Mode,Disable Scan (gating),OCC SCAN Mode,Special DFT Control,enable DFT TPI,Truth Table,Description,,,,,,
#Register_MISC,,,,,,,,,,,,,,,,,,
##MISC_ID,,,,,,,,,,,,,,,,,,
[15:8],IP_REV,8,OD,RD,0x0,N/A,N,N/A,N/A,N/A,,revision 0,,,,,,
[7:0],IP_INFO,8,OD,RD,0x0,N/A,N,N/A,N/A,N/A,,N/A,,,,,,
,,,,,,,,,,,,,,,,,,
##MISC1_ATEST_IVREF,,,,,,,,,,,,,,,,,,
[15:11],MISC_TE_BLK,5,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,test block select. 0::disable, 1: ivref, 2/3: pll, 4: pi, 5: tx, 6: rx, 7: cmc
[10:8],MISC_TR,3,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,test mux select,,,,,,
[7],MISC_PU_ICCGEN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,Constant Current Generator,,,,,,
[6],MISC_PU_RANDGEN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,Random number generator enable,,,,,,
[5],MISC_ICC_MODE_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,0: 4.99K, 1: 2.49K for RBIAS,,,,,
[4:3],MISC_EFUSE_ITH_SEL,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,Efuse power switch enable slew rate selection,,,,,,
[2],MISC_PU_RING,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,For UVDetection,,,,,,
[1:0],MISC_RSVD_WR_MISC1,2,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,rsvd wr,,,,,,
,,,,,,,,,,,,,,,,,,
##MISC2_CK,,,,,,,,,,,,,,,,,,
[15],MISC_CLK_DIG_DGLTCH_EN,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,,CK25_XTAL deglitch clk enable,,,,,,
[14],MISC_SEL_DEGLITCH_REF_CLK,1,ID,WR,0x1,0x1,Y,0x1,Configurable,N/A,,reference deglitch clk enable,,,,,,
[13:12],MISC_SEL_DEGLITCH_WIDTH_REF_CLK,2,ID,WR,0x3,0x3,Y,0x3,Configurable,N/A,,reference deglitch clk bit,,,,,,
[11],MISC_EN_REFCLK2SDS,1,ID,WR,0x0,0x0,Y,0x1,Configurable,N/A,,,,,,,,
[10:0],MISC_RSVD_WR_MISC2,11,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,rsvd wr,,,,,,
,,,,,,,,,,,,,,,,,,
##MISC3_TSEN_RANDGEN,,,,,,,,,,,,,,,,,,
[15],MISC_TSEN_EN,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,temp sensor enable,,,,,,
[14],MISC_TSEN_CLK_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,,,,,,,
[13],MISC_TSEN_IN05_SEL,1,ID,WR,0x0,0x0,Y,0x0,Configurable,N/A,,,,,,,,
